Ciudad 1,Costo de la ciudad 1,Coordenada X ciudad 1,Coordenada Y ciudad 1,Ciudad 2,Cosato de la ciudad 2,Coordenada X ciudad 2,Coordenada Y ciudad 2,Costo del enlace
Aberdeen,5,3902,1510,Pierre,5,3653,1727,159
Aberdeen,5,3902,1510,Watertown SD,5,4121,1606,105
Acapulco,5,3970,7565,Chilpancingo,5,4039,7466,129
Acayucan,5,4822,7370,Tehuantepec,5,4785,7629,201
Acayucan,5,4822,7370,Tuxtla Gutierrez,5,5156,7523,275
Acayucan,5,4822,7370,Villa Hermosa,5,5254,7254,236
Agua Prieta,5,2160,4387,Santa Ana,5,1838,4499,236
Aguascalientes,5,3410,6528,Guadalajara,5,3236,6794,250
Aguascalientes,5,3410,6528,Guanajuato,5,3633,6765,82
Albany,5,7458,1488,New York,5,7549,1877,159
Albany,5,7458,1488,Scranton,5,7272,1810,184
Albany,5,7458,1488,Syracuse,5,7112,1509,147
Albuquerque,5,2666,3670,Socorro,5,2609,3873,78
Albuquerque,5,2666,3670,Tucumcari,5,3135,3662,174
Albuquerque,5,2666,3670,Vaughn,5,2891,3775,103
Alexandria,5,5021,4388,Baton Rouge,5,5251,4545,128
Alexandria,5,5021,4388,Lake Charles,5,4912,4620,98
Alvarado,5,4686,7219,Acayucan,5,4822,7370,248
Alvarado,5,4686,7219,Oaxaca,5,4483,7539,339
Amarillo,5,3440,3647,Clovis,5,3226,3817,103
Amarillo,5,3440,3647,Lubbock,5,3439,4012,118
Amarillo,5,3440,3647,Vernon,5,3856,3863,171
Asheville,5,6524,3228,Atlanta,5,6280,3650,206
Asheville,5,6524,3228,Augusta,5,6679,3639,217
Asheville,5,6524,3228,Charlotte,5,6861,3274,125
Asheville,5,6524,3228,Chattanoga,5,6109,3410,227
Asheville,5,6524,3228,Columbia,5,6811,3497,157
Astoria,5,421,1008,Newport,5,318,1316,134
Atlacomulco,5,3938,6934,Queretaro,5,3868,6765,120
Atlanta,5,6280,3650,Augusta,5,6679,3639,151
Atlanta,5,6280,3650,Birmigham,5,5888,3809,148
Atlanta,5,6280,3650,Montgomery,5,6013,4028,167
Atlanta,5,6280,3650,Savannah,5,6885,3887,252
Atlanta,5,6280,3650,Tifton,5,6505,4099,182
Atlantic City,5,7545,2177,Baltimore,5,7297,2242,148
Atoka,5,4371,3791,Dallas,5,4276,4124,128
Atoka,5,4371,3791,Texarkana,5,4714,3940,169
Augusta,5,6679,3639,Charleston SC,5,7039,3701,112
